UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	1
0	1
0	0
0	0
0	2
1	1
2	5
0	2
0	0
0	0
0	0
0	0
0	5
0	0
2	0
5	2
0	1
1	12
2	1
0	0
0	4
0	0
1	0
0	1
0	0
2	0
0	1
0	0
9	0
1	0
1	0
1	1
0	0
5	0
3	0
0	0
0	1
0	0
0	0
0	0
1	0
0	1
0	0
1	0
1	0
0	0
5	2
4	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
3	0
4	1
1	0
0	0
0	4
0	0
0	1
0	0
2	0
0	0
0	0
0	0
1	0
2	0
0	1
4	0
3	0
2	0
2	1
1	0
3	0
4	0
3	0
2	0
2	0
1	2
0	0
1	2
1	0
4	0
1	0
1	0
1	0
0	0
7	0
2	2
0	0
1	0
4	0
0	0
0	0
1	1
1	0
2	0
1	0
2	0
0	0
2	0
0	0
0	1
0	0
0	0
1	1
0	0
0	2
0	0
0	1
0	0
0	5
0	0
0	2
0	1
0	0
0	0
0	0
0	0
4	0
5	1
11	1
5	1
1	2
6	3
3	1
0	0
0	0
0	1
0	5
0	12
0	0
0	0
0	44
4	50
43	0
124	9
4	44
0	50
60	13
23	12
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
22	267
0	278
0	0
0	1736
23	306
0	1306
1	1340
0	907
38	0
2	70
3	177
559	910
121	843
0	680
10	7
0	1653
0	270
0	277
1	306
0	107
0	107
0	0
0	0
5	70
0	157
8581	199
0	18
1	31
3	18
107	10
0	122
0	0
6	0
5	0
4	15
0	0
0	0
2	21
61	29
2	0
143	11
0	26
12	6
2	2
63	0
1	131
3	255
45	47
0	146
17	0
1	1
12	26
0	32
27	46
1	79
4	23
75	9
55	3
0	20
0	4
1	70
0	88
0	133
0	12
163	223
0	1
0	91
0	34
0	27
0	18
216	40
9	116
5	0
98	0
0	0
1	12
0	3
0	14
41	225
0	79
8	14
2	0
5	1
14	50
26	17
1	130
136	0
0	33
287	60
6	0
850	15
116	31
5	7
8	26
157	49
387	208
21	174
165	248
65	26
103	48
832	338
2	14
51	17
203	25
553	16
36	159
11	183
341	191
0	6
0	1087
0	18
0	17
155	47
0	0
62	5
13	0
118	36
0	2
99	0
4	0
0	15
0	18
0	13
0	0
0	126
0	3
0	144
0	4
0	70
0	26
15	39
0	12
0	79
