UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
11	1
0	7
1	0
0	0
0	7
8	1
0	101
0	53
1	0
0	1
0	0
0	3
0	44
0	1
44	7
51	6
0	8
10	109
23	18
1	4
2	50
0	0
9	10
6	29
14	0
19	1
0	7
7	1
71	8
31	6
4	2
6	17
2	2
52	7
22	7
4	0
0	8
0	0
11	1
2	25
0	0
0	4
0	20
9	1
1	2
0	12
23	27
29	2
0	0
57	10
0	4
3	0
6	0
9	1
2	1
14	2
20	2
19	5
11	2
21	1
0	48
0	2
0	4
0	6
15	6
0	0
11	1
0	0
9	2
50	18
20	10
40	4
34	7
27	4
6	11
13	4
29	5
34	3
26	7
12	3
10	1
27	8
3	0
24	3
10	6
40	8
5	0
6	0
28	8
7	0
5	0
5	3
0	0
12	5
23	9
3	0
9	3
4	2
14	3
7	5
11	7
11	5
1	1
16	2
0	3
1	8
0	4
0	0
5	8
8	6
4	7
0	0
1	7
0	0
13	44
12	20
0	53
3	8
0	13
6	0
13	4
0	0
19	2
5	1
14	3
48	2
24	13
41	3
14	15
0	0
0	0
0	29
6	101
2	108
0	24
0	1
0	678
70	1070
137	10
1283	146
79	647
0	1046
143	32
22	23
2	4
0	0
0	1
0	0
0	0
2	2
0	0
0	0
0	1
0	16
0	0
0	0
0	0
0	0
0	4
0	2
0	0
0	1
0	0
0	0
0	0
0	0
0	0
1139	10804
0	110413
3	40
2	44444
1578	29381
22	687985
777	701455
12	418752
1359	21
1609	70995
2548	106709
61459	101718
45574	97576
0	37306
2271	1714
9	42578
9	105616
1	109597
54	29376
12	6687
0	6666
0	40
0	40
8	70990
15	101927
711840	39957
57	1443
150	1878
213	1078
9837	1707
0	9696
1	0
751	36
735	46
519	800
137	24
7	1
46	800
4125	1717
3304	34
3191	233
34	3515
1837	303
650	164
5725	47
329	37808
129	25971
2850	8478
30	9217
118	1
304	707
2545	3821
25	1873
3938	2350
94	8181
479	8185
3722	523
2969	178
2	870
0	465
109	6305
37	8065
85	9044
29	6568
10070	9284
45	497
17	3585
8	5444
0	488
0	236
3583	2643
1821	29148
529	4
27449	182
0	1
17	1171
0	293
8	1547
2398	9732
125	7538
3137	2806
3906	797
2407	32
4223	11167
2249	1218
192	33565
1471	20
110	9348
22244	2512
208	25
45554	3481
4201	2661
123	421
1311	3303
5618	4585
18179	10134
2209	17870
15280	19407
15084	5100
5674	2579
96700	36979
299	509
1742	1247
11334	1672
46483	3516
